event_id,event_name,sport_category,league,event_date
59,Champions League: West Robert vs South Juan,Football,Champions League,02-02-2024
60,Champions League: East Erikafurt vs South Bonniefort,Football,Champions League,16-05-2024
61,Premier League: South Selena vs Scotttown,Football,Premier League,24-04-2024
62,Bundesliga: Port Johnton vs South Calebmouth,Football,Bundesliga,04-02-2024
63,La Liga: New Stevenmouth vs Royhaven,Football,La Liga,07-02-2024
64,Bundesliga: West Edwardchester vs Port Kennethton,Football,Bundesliga,22-06-2024
65,La Liga: Carlfurt vs Fernandezton,Football,La Liga,01-06-2024
66,Bundesliga: East Robert vs Kyleview,Football,Bundesliga,20-01-2024
67,Bundesliga: Garciamouth vs North Catherine,Football,Bundesliga,05-03-2024
68,Champions League: South John vs Dawnborough,Football,Champions League,05-05-2024
69,La Liga: Amyview vs North Mary,Football,La Liga,09-04-2024
70,La Liga: Port Linda vs Jennifershire,Football,La Liga,23-04-2024
71,La Liga: Knightton vs Lake Stephanie,Football,La Liga,05-05-2024
72,Bundesliga: Tranbury vs Lanceton,Football,Bundesliga,03-06-2024
73,La Liga: South Mary vs New Tracy,Football,La Liga,04-03-2024
74,Bundesliga: Jacksontown vs Joshuaport,Football,Bundesliga,21-04-2024
75,Premier League: North Savannahburgh vs New Heathershire,Football,Premier League,02-05-2024
76,Champions League: Port Steven vs Kimberlyshire,Football,Champions League,06-06-2024
77,Serie A: South David vs South Meghanport,Football,Serie A,14-02-2024
78,Premier League: Longborough vs Lake Davidmouth,Football,Premier League,12-05-2024
79,La Liga: West Gloria vs Andrewborough,Football,La Liga,16-03-2024
80,Champions League: Collinsfurt vs South Williamport,Football,Champions League,17-04-2024
81,Champions League: Amandaport vs Yorkfurt,Football,Champions League,28-04-2024
82,Champions League: Port Jamestown vs Port Jesus,Football,Champions League,08-06-2024
83,Champions League: East Sarahberg vs Port Benjaminside,Football,Champions League,26-01-2024
84,La Liga: Sanchezshire vs Karaside,Football,La Liga,25-06-2024
85,Champions League: Port Elizabethshire vs New Nicholasville,Football,Champions League,14-05-2024
86,Serie A: Nicholasland vs West Jennifer,Football,Serie A,21-01-2024
87,Serie A: Nguyenview vs Richardsonview,Football,Serie A,03-04-2024
88,Champions League: West Richardbury vs Port Elizabeth,Football,Champions League,11-02-2024
89,Bundesliga: Calebbury vs West Elizabethport,Football,Bundesliga,21-02-2024
90,La Liga: Elliston vs South Davidshire,Football,La Liga,04-06-2024
91,Serie A: Michellemouth vs Bobbyland,Football,Serie A,15-02-2024
92,Serie A: Richardchester vs East Gregory,Football,Serie A,18-03-2024
93,Serie A: New Deanna vs New Shawnstad,Football,Serie A,12-01-2024
94,Premier League: Laurenstad vs Tammieshire,Football,Premier League,23-03-2024
95,Premier League: North Tiffany vs Lake Glenhaven,Football,Premier League,19-01-2024
96,Serie A: Lisamouth vs Meyerfurt,Football,Serie A,15-04-2024
97,Bundesliga: Stephenside vs East Patricia,Football,Bundesliga,17-03-2024
98,La Liga: Josephview vs New David,Football,La Liga,23-05-2024
99,La Liga: Jamesfurt vs Michaelfort,Football,La Liga,09-05-2024
100,Serie A: Simpsonshire vs Carriebury,Football,Serie A,06-06-2024
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
